date,idIBC,GI_name,kpi_id,KPI_name,unit,result,kpi_score,firmware_version
2017-04-05,270,GI#1,1,1_Start-up time,minutes,263.9,0,201704052
2017-04-06,270,GI#1,1,1_Start-up time,minutes,17.3,0,201704061
2017-04-07,270,GI#1,1,1_Start-up time,minutes,77.73333333333333,0,201704071
2017-04-10,270,GI#1,1,1_Start-up time,minutes,66.6,0,201704071
2017-04-11,270,GI#1,1,1_Start-up time,minutes,14.916666666666666,0,201704071
2017-04-12,270,GI#1,1,1_Start-up time,minutes,10.6,0,201704111
2017-04-13,270,GI#1,1,1_Start-up time,minutes,192.51666666666668,0,201704121
2017-04-13,270,GI#1,1,1_Start-up time,minutes,192.51666666666668,0,201704131
2017-04-17,270,GI#1,1,1_Start-up time,minutes,12.516666666666667,0,201704133
2017-04-18,270,GI#1,1,1_Start-up time,minutes,15,0,201704171
2017-04-19,270,GI#1,1,1_Start-up time,minutes,16.95,0,201704181
2017-04-20,270,GI#1,1,1_Start-up time,minutes,16.716666666666665,0,201704191
2017-04-21,270,GI#1,1,1_Start-up time,minutes,22.666666666666668,0,201704201
2017-04-24,270,GI#1,1,1_Start-up time,minutes,15.95,0,201704201
2017-04-25,270,GI#1,1,1_Start-up time,minutes,108,0,201704201
2017-04-26,270,GI#1,1,1_Start-up time,minutes,12.35,0,201704201
2017-04-27,270,GI#1,1,1_Start-up time,minutes,235.65,0,201704261
2017-04-27,270,GI#1,1,1_Start-up time,minutes,235.65,0,201704272
2017-08-02,273,GI#3,1,1_Start-up time,minutes,154.45,0,201707031
2017-02-01,270,GI#1,1,1_Start-up time,minutes,95.1,0,201701312
2017-02-01,270,GI#1,1,1_Start-up time,minutes,95.1,0,201702011
2017-02-01,270,GI#1,1,1_Start-up time,minutes,95.1,0,201702012
2017-02-02,270,GI#1,1,1_Start-up time,minutes,411.31666666666666,0,201702014
2017-02-03,270,GI#1,1,1_Start-up time,minutes,11.033333333333333,0,201702022
2017-02-08,270,GI#1,1,1_Start-up time,minutes,44.483333333333334,0,201702031
2017-02-13,270,GI#1,1,1_Start-up time,minutes,70.08333333333333,0,NA
2017-02-14,270,GI#1,1,1_Start-up time,minutes,331.1166666666667,0,201702131
2017-02-15,270,GI#1,1,1_Start-up time,minutes,68.28333333333333,0,201702151
2017-02-16,270,GI#1,1,1_Start-up time,minutes,60.2,0,201702152
2017-02-17,270,GI#1,1,1_Start-up time,minutes,26.866666666666667,0,201702162
2017-01-25,270,GI#1,1,1_Start-up time,minutes,42.1,0,NA
2017-01-26,270,GI#1,1,1_Start-up time,minutes,79.4,0,201701252
2017-01-26,270,GI#1,1,1_Start-up time,minutes,79.4,0,201701261
2017-01-30,270,GI#1,1,1_Start-up time,minutes,123.2,0,201701271
2017-01-31,270,GI#1,1,1_Start-up time,minutes,143.55,0,201701311
2017-07-07,270,GI#1,1,1_Start-up time,minutes,196,0,201707061
2017-07-10,270,GI#1,1,1_Start-up time,minutes,193.68333333333334,0,201707081
